"#","Reference","Qty","Value","Footprint","DNP"
"1","J1, J2","2","Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal",""
"2","J3, J4","2","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal",""
"3","J5","1","Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"4","J6","1","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"5","J7, J8","2","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"6","U1","1","74LS04","Package_DIP:DIP-14_W7.62mm",""
"7","U2","1","4011","Package_DIP:DIP-14_W7.62mm",""
"8","U3","1","74HC595","Package_DIP:DIP-16_W7.62mm",""
"9","U4","1","74HC590","Package_DIP:DIP-16_W7.62mm",""
"10","U5, U7","2","74LS74","Package_DIP:DIP-14_W7.62mm",""
"11","U6","1","74HC08","Package_DIP:DIP-14_W7.62mm",""
"12","U8","1","4042","Package_DIP:DIP-16_W7.62mm",""
"13","U9","1","74HC4051","Package_DIP:DIP-16_W7.62mm",""
